Category,Accounts Disabled,% of Accounts Who Submitted an Appeal,% Account Appeals Granted,% of Accounts Unbaned
Child Safety,"42,458",17.85%,2.33%,0.43%
Deceptive Practices,"8,800",9.94%,6.12%,0.65%
Exploitative and Unsolicited Content,"47,570",6.40%,8.48%,0.59%
Harassment and Bullying,"11,347",27.82%,7.23%,2.17%
Hateful Conduct,"7,104",24.73%,5.18%,1.35%
Identity and Authenticity,"3,561",5.36%,8.61%,0.51%
Misinformation,385,11.43%,2.22%,0.26%
Platform Manipulation,"1,197",22.14%,0.75%,0.17%
Regulated or Illegal Activities,"37,248",14.41%,7.02%,1.09%
Self-Harm Concerns,"1,297",21.43%,5.44%,1.23%
Violent and Graphic Content,"12,300",21.63%,0.86%,0.19%
Violent Extremism,"12,489",17.47%,0.32%,0.06%